Position	Strand	DS_Coverage_WT1	DS_Coverage_WT2	DS_Coverage_WT3	mC_Coverage_WT1	mC_Coverage_WT2	mC_Coverage_WT3	Mg_Coverage_WT1	Mg_Coverage_WT2	Mg_Coverage_WT3	Tm_Coverage_WT1	Tm_Coverage_WT2	Tm_Coverage_WT3	DS_MethylPercent_WT1	DS_MethylPercent_WT2	DS_MethylPercent_WT3	mC_MethylPercent_WT1	mC_MethylPercent_WT2	mC_MethylPercent_WT3	Mg_MethylPercent_WT1	Mg_MethylPercent_WT2	Mg_MethylPercent_WT3	Tm_MethylPercent_WT1	Tm_MethylPercent_WT2	Tm_MethylPercent_WT3
620	Plus	17	37	37	17	37	38	22	43	49	17	37	37	0.706	0.676	0.649	0.882352941	0.702702703	0.894736842	1	0.9535	1	1	0.8333	1
621	Minus	37	43	37	33	35	30	35	41	35	37	43	37	0.946	0.977	1	0.818181818	0.8	0.7	0.9429	0.9756	0.9714	0.9167	0.8889	1
727	Plus	19	39	36	23	39	46	19	42	47	19	39	36	0.737	0.641	0.722	0.782608696	0.846153846	0.760869565	0.8947	0.881	0.9574	1	1	1
728	Minus	39	45	37	30	31	30	36	43	35	39	45	37	1	0.978	0.973	0.9	0.967741935	0.866666667	1	0.9767	1	0.9524	1	1
782	Plus	19	39	37	16	32	33	22	45	48	19	39	37	0.684	0.692	0.784	0.9375	0.84375	0.848484848	1	0.9111	1	1	1	1
783	Minus	40	45	38	36	37	33	37	43	37	40	45	38	0.975	0.889	1	0.833333333	0.810810811	0.878787879	1	0.9535	1	1	0.9474	1
881	Plus	19	39	37	20	37	32	24	45	49	19	39	37	0.737	0.615	0.622	0.65	0.891891892	0.9375	0.9583	0.9778	0.9592	1	1	1
882	Minus	43	45	41	39	33	31	39	42	39	43	45	41	0.977	0.978	1	0.846153846	0.878787879	0.870967742	0.9744	0.9762	1	0.9412	1	1
1168	Plus	19	40	39	18	38	38	23	44	50	19	40	39	0.737	0.65	0.641	0.833333333	0.842105263	0.921052632	0.913	0.9091	0.94	1	1	0.9333
1169	Minus	43	47	43	37	40	34	39	47	34	43	47	43	0.86	0.809	0.814	0.837837838	0.9	0.882352941	0.9487	0.9574	1	0.9444	1	0.9
1570	Plus	22	46	43	20	36	42	24	49	55	22	46	43	0.5	0.63	0.721	1	0.916666667	1	1	1	0.9636	0.8889	0.9444	0.9474
1571	Minus	46	50	42	37	41	32	45	50	39	46	50	42	0.804	0.96	0.833	0.891891892	0.951219512	0.90625	0.9778	0.98	1	1	1	1
1635	Plus	24	48	44	27	50	38	25	53	51	24	48	44	0.667	0.375	0.591	0.777777778	0.64	0.736842105	1	1	0.9804	0.875	0.8182	0.8889
1636	Minus	46	52	42	41	40	30	44	50	37	46	52	42	0.609	0.673	0.643	0.975609756	0.95	1	1	0.94	0.9459	0.9697	1	1
1724	Plus	24	48	46	22	42	37	26	53	57	24	48	46	0.833	0.771	0.804	0.681818182	0.80952381	0.891891892	0.9615	0.9811	0.9649	1	1	1
1725	Minus	48	55	42	36	44	35	44	51	37	48	55	42	0.438	0.473	0.476	0.611111111	0.636363636	0.628571429	1	1	1	1	1	0.9
2021	Plus	25	47	43	24	45	42	27	53	56	25	47	43	0.48	0.511	0.465	0.75	0.822222222	0.80952381	1	0.9623	1	1	0.9375	1
2022	Minus	51	61	40	40	47	31	50	58	39	51	61	40	0.941	0.951	0.975	0.925	0.893617021	0.903225806	0.96	1	1	1	0.95	1
2354	Plus	29	48	52	21	42	47	29	53	63	29	48	52	0.31	0.312	0.192	0.619047619	0.714285714	0.659574468	1	0.9811	0.9206	1	1	1
2355	Minus	48	61	43	38	50	37	47	58	40	48	61	43	0.792	0.803	0.837	1	0.94	0.972972973	1	1	0.95	1	1	1
2516	Plus	25	48	52	20	26	36	28	52	62	25	48	52	0.32	0.396	0.5	0.75	0.769230769	0.75	0.9643	1	0.9355	1	1	0.9444
2517	Minus	51	61	46	39	51	43	49	61	44	51	61	46	0.843	0.918	0.957	0.897435897	0.882352941	0.860465116	0.9592	1	1	0.9737	1	1
2633	Plus	24	47	52	21	36	52	29	53	65	24	47	52	0.5	0.447	0.5	0.904761905	0.944444444	0.865384615	0.931	0.9623	0.9692	1	0.9412	1
2634	Minus	52	60	46	36	45	33	46	54	42	52	60	46	0.712	0.817	0.761	0.388888889	0.577777778	0.515151515	0.9783	0.9815	0.9524	0.625	0.9286	0.5
2762	Plus	25	48	56	19	37	53	27	52	66	25	48	56	0.8	0.646	0.714	0.736842105	0.702702703	0.641509434	0.9259	0.8654	0.9242	1	0.75	0.6667
2763	Minus	49	56	46	42	48	37	46	55	43	49	56	46	0.898	0.911	0.935	0.880952381	0.895833333	0.918918919	0.913	0.9636	0.9767	0.9565	1	1
3074	Plus	30	53	54	16	37	50	31	59	65	30	53	54	0.467	0.604	0.611	0.9375	0.864864865	0.94	0.9677	0.8983	1	1	0.9444	1
3075	Minus	49	59	47	38	44	36	49	52	45	49	59	47	0.959	0.932	0.894	0.947368421	0.954545455	0.944444444	1	0.9038	0.9778	1	1	1
3263	Plus	31	55	60	24	46	56	31	62	71	31	55	60	0.774	0.636	0.783	0.958333333	0.913043478	0.946428571	1	0.9839	1	1	0.963	1
3264	Minus	51	58	50	41	46	38	48	52	43	51	58	50	0.941	0.966	0.96	0.902439024	0.760869565	0.842105263	0.9792	0.9808	1	1	1	1
3756	Plus	32	53	55	29	43	50	32	57	62	32	53	55	0.219	0.283	0.218	1	0.976744186	0.98	0.9062	0.8421	0.871	0.9474	0.9412	1
3757	Minus	52	59	52	41	44	40	51	59	49	52	59	52	0.808	0.881	0.673	0.585365854	0.477272727	0.625	0.8824	0.9831	0.9184	0.8667	0.8125	0.375
3905	Plus	33	54	57	31	38	49	35	58	62	33	54	57	0.364	0.278	0.298	0.774193548	0.894736842	0.93877551	0.9143	0.9483	0.9194	1	1	0.973
3906	Minus	51	59	51	39	41	38	48	57	49	51	59	51	0.882	0.949	0.941	0.846153846	0.829268293	0.789473684	0.9583	0.9825	1	0.9706	0.9773	0.973
4821	Plus	36	52	65	31	48	58	39	59	74	36	52	65	0.722	0.615	0.569	0.516129032	0.5625	0.551724138	1	0.9661	0.9865	0.8	0.9286	1
4822	Minus	53	64	58	39	53	53	50	63	53	53	64	58	0.868	0.906	0.966	0.743589744	0.716981132	0.754716981	0.98	1	0.9623	1	1	1
4917	Plus	35	55	67	31	50	65	37	61	75	35	55	67	0.771	0.782	0.896	0.806451613	0.86	0.876923077	0.973	0.9672	0.9733	1	1	0.92
4918	Minus	54	67	59	41	47	44	48	61	54	54	67	59	0.907	0.94	0.915	1	0.914893617	0.840909091	0.9792	0.9836	0.963	1	1	1
5346	Plus	40	60	69	35	53	68	43	62	70	40	60	69	0.925	0.933	0.884	0.428571429	0.603773585	0.573529412	0.9767	0.9839	0.9714	1	1	1
5347	Minus	55	63	57	37	46	50	53	59	54	55	63	57	0.727	0.81	0.877	0.891891892	0.804347826	0.8	0.9245	0.9661	1	0.9583	0.9615	0.9565
5490	Plus	41	60	64	35	49	56	43	64	71	41	60	64	0.878	0.95	0.938	0.657142857	0.775510204	0.767857143	0.907	0.9375	0.9296	1	1	1
5491	Minus	52	63	58	38	45	42	52	61	56	52	63	58	0.769	0.603	0.655	0.921052632	0.911111111	0.952380952	0.9808	0.9672	0.9821	1	1	1
5852	Plus	46	52	68	39	44	65	48	53	74	46	52	68	0.783	0.846	0.676	0.897435897	0.909090909	0.830769231	0.9583	1	0.973	1	1	0.9231
5853	Minus	55	60	60	40	41	41	53	60	55	55	60	60	0.909	0.95	0.933	0.925	0.951219512	0.951219512	0.9245	0.95	0.9818	1	1	1
6034	Plus	46	53	66	36	49	58	45	53	69	46	53	66	0.739	0.755	0.788	0.555555556	0.653061224	0.551724138	0.8889	0.8868	0.942	1	1	1
6035	Minus	56	62	59	47	41	47	46	60	55	56	62	59	0.696	0.726	0.763	0.893617021	0.853658537	0.893617021	0.9783	0.9	1	1	0.973	0.9459
6062	Plus	45	53	66	41	42	56	47	53	62	45	53	66	0.756	0.66	0.742	0.658536585	0.80952381	0.714285714	0.9787	0.9811	1	0.9375	0.92	0.9444
6063	Minus	57	62	59	49	48	48	51	57	55	57	62	59	0.86	0.823	0.932	0.897959184	0.833333333	0.8125	0.9804	1	0.9818	1	0.9545	0.9688
6356	Plus	44	52	65	41	44	56	47	57	73	44	52	65	0.955	0.731	0.892	0.853658537	0.863636364	0.892857143	1	1	0.9726	1	0.9524	1
6357	Minus	54	60	58	39	44	50	52	58	59	54	60	58	0.5	0.483	0.431	0.615384615	0.590909091	0.58	0.9615	1	0.9831	1	0.8571	1
6515	Plus	44	52	63	40	48	58	43	56	70	44	52	63	0.705	0.712	0.714	0.85	0.708333333	0.689655172	0.9767	0.9821	0.9857	1	0.8571	1
6516	Minus	54	65	60	33	29	43	50	57	54	54	65	60	0.981	0.985	1	0.939393939	0.896551724	0.906976744	0.94	0.8772	0.963	1	1	1
6598	Plus	41	52	62	35	47	58	44	58	71	41	52	62	0.561	0.577	0.548	0.714285714	0.595744681	0.706896552	0.9773	0.9655	0.9718	1	0.9375	0.963
6599	Minus	57	65	60	47	45	53	49	59	58	57	65	60	0.842	0.892	0.9	0.787234043	0.733333333	0.830188679	0.9796	0.9661	0.9483	1	1	1
6788	Plus	41	56	62	32	44	48	42	58	70	41	56	62	0.902	0.857	0.855	0.96875	0.954545455	0.958333333	1	0.9655	0.9857	1	1	1
6789	Minus	55	64	60	42	47	53	50	63	56	55	64	60	0.873	0.984	0.95	0.428571429	0.531914894	0.660377358	0.98	1	0.9643	0.6923	0.8	0.625
6803	Plus	41	56	62	34	44	51	41	58	67	41	56	62	0.927	0.893	0.887	0.941176471	0.886363636	0.901960784	0.9756	0.9483	0.9403	1	1	1
6804	Minus	54	64	59	37	45	50	52	61	56	54	64	59	0.833	0.703	0.864	0.810810811	0.755555556	0.76	1	0.9672	1	1	0.931	0.9722
7917	Plus	39	60	64	26	38	36	41	61	64	39	60	64	1	0.983	0.969	0.923076923	0.973684211	0.888888889	0.9268	0.918	0.9375	1	1	0.9429
7918	Minus	54	60	72	41	44	60	50	59	62	54	60	72	0.907	0.933	0.944	0.829268293	0.886363636	0.783333333	0.96	0.9831	0.9839	1	0.9615	1
8431	Plus	39	58	63	27	35	41	41	63	66	39	58	63	0.949	0.862	0.873	0.925925926	0.971428571	1	1	0.9683	0.9848	1	1	1
8432	Minus	56	58	68	37	38	53	56	55	65	56	58	68	0.946	0.914	0.912	0.837837838	0.894736842	0.773584906	0.9643	1	1	1	1	1
8445	Plus	39	58	63	36	57	54	39	62	61	39	58	63	0.846	0.828	0.746	0.638888889	0.561403509	0.555555556	0.9744	0.9355	0.9508	1	1	0.9474
8446	Minus	56	57	68	34	34	43	53	54	64	56	57	68	0.804	0.719	0.794	0.794117647	0.852941176	0.837209302	0.9623	0.9815	1	1	1	1
8583	Plus	37	58	63	24	50	50	41	62	62	37	58	63	0.703	0.724	0.746	0.916666667	0.88	0.96	0.9512	0.9839	0.9839	1	1	1
8584	Minus	54	60	65	44	37	53	53	55	62	54	60	65	0.944	0.9	0.923	0.818181818	0.648648649	0.79245283	1	0.9818	0.9839	1	1	0.9167
8617	Plus	36	57	62	31	46	57	40	60	64	36	57	62	0.889	0.737	0.952	0.741935484	0.782608696	0.631578947	0.975	0.95	0.9844	1	0.9583	1
8618	Minus	53	60	64	47	42	52	53	55	59	53	60	64	0.887	0.867	0.906	0.744680851	0.785714286	0.846153846	0.9811	1	0.9661	0.6667	0.8889	0.8636
